type_line,oracle_text,edhrec_rank,colors,cmc,rarity,toughness,name,keywords,color_identity,power,mana_cost
Creature — Vampire Soldier,"When Dusk Legion Zealot enters the battlefield, you draw a card and you lose 1 life.",1753,['B'],2.0,common,1,Dusk Legion Zealot,[],['B'],1,{1}{B}
Creature — Insect,"Flying
Whenever Goldenglow Moth blocks, you may gain 4 life.",10790,['W'],1.0,common,1,Goldenglow Moth,['Flying'],['W'],0,{W}
Artifact Creature — Scarecrow,"{T}: Add one mana of any color.
{T}: Target creature becomes the color or colors of your choice until end of turn.",3328,[],3.0,uncommon,2,Scuttlemutt,[],[],2,{3}
Creature — Goblin,"Whenever you draw your second card each turn, create two 1/1 black Rat creature tokens.",8323,['R'],4.0,uncommon,2,Mad Ratter,[],['R'],1,{3}{R}
Enchantment,"At the beginning of each player's upkeep, that player sacrifices a nonland, nontoken permanent. If that player can't, they discard a card, they lose 2 life, you draw a card, you gain 2 life, you create a 2/2 white Knight creature token with vigilance, then you sacrifice Doom Foretold.",7251,"['B', 'W']",4.0,rare,,Doom Foretold,[],"['B', 'W']",,{2}{W}{B}
Creature — Faerie // Sorcery — Adventure,,8707,['W'],1.0,common,1,Faerie Guidemother // Gift of the Fae,['Flying'],['W'],1,{W} // {1}{W}
Creature — Elemental,Flying,11233,['U'],5.0,uncommon,4,Air Elemental,['Flying'],['U'],4,{3}{U}{U}
Creature — Skeleton Knight,"Haste
When you gain life for the first time each turn, return Deathless Knight from your graveyard to your hand.",12860,"['B', 'G']",4.0,uncommon,2,Deathless Knight,['Haste'],"['B', 'G']",4,{B/G}{B/G}{B/G}{B/G}
Creature — Cat Cleric,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.",15558,['W'],2.0,uncommon,1,Abuna Acolyte,[],['W'],1,{1}{W}
Creature — Zombie,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",3771,['B'],2.0,common,1,Butcher Ghoul,['Undying'],['B'],1,{1}{B}
Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",2568,['B'],4.0,common,2,Gravedigger,[],['B'],2,{3}{B}
Creature — Zombie,"Unbreathing Horde enters the battlefield with a +1/+1 counter on it for each other Zombie you control and each Zombie card in your graveyard.
If Unbreathing Horde would be dealt damage, prevent that damage and remove a +1/+1 counter from it.",3029,['B'],3.0,rare,0,Unbreathing Horde,[],['B'],0,{2}{B}
Artifact,"{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle your library.",1070,[],2.0,common,,Armillary Sphere,[],[],,{2}
Creature — Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,1567,['U'],4.0,rare,0,Clone,[],['U'],0,{3}{U}
Land,"Tranquil Cove enters the battlefield tapped.
When Tranquil Cove enters the battlefield, you gain 1 life.
{T}: Add {W} or {U}.",322,[],0.0,common,,Tranquil Cove,[],"['U', 'W']",,
Sorcery,"Create five 1/1 white Human creature tokens. If this spell was cast from a graveyard, create ten of those tokens instead.
Flashback {7}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1949,['W'],5.0,rare,,Increasing Devotion,['Flashback'],['W'],,{3}{W}{W}
Creature — Human Soldier,"{1}, {T}, Sacrifice another creature: You gain life equal to that creature's toughness. Draw a card.",15164,['B'],4.0,common,4,Bushmeat Poacher,[],['B'],2,{3}{B}
Creature — Nightmare Pangolin,,18889,['B'],3.0,common,5,Gloom Pangolin,[],['B'],1,{2}{B}
Artifact — Equipment,"Equipped creature has first strike.
As long as equipped creature is a Human, it gets +1/+1.
Equip {1}",11355,[],2.0,uncommon,,Sharpened Pitchfork,['Equip'],[],,{2}
Creature — Incarnation,"Flying
As long as Wonder is in your graveyard and you control an Island, creatures you control have flying.",1243,['U'],4.0,uncommon,2,Wonder,['Flying'],['U'],2,{3}{U}
Enchantment — Aura,"Enchant creature
Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.",8682,['W'],2.0,common,,Bonds of Faith,['Enchant'],['W'],,{1}{W}
Sorcery,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,10177,['W'],3.0,common,,Aerial Assault,[],['W'],,{2}{W}
Creature — Human Warrior,{R}: Disciple of the Old Ways gains first strike until end of turn.,16215,['G'],2.0,common,2,Disciple of the Old Ways,[],"['G', 'R']",2,{1}{G}
Enchantment Creature — Human Cleric,"Whenever a creature dies, if an Aura you control was attached to it, return target creature card with converted mana cost 2 or less from your graveyard to your hand.",13648,['W'],3.0,uncommon,3,Dawn Evangel,[],['W'],2,{2}{W}
Creature — Human Rogue,Temple Thief can't be blocked by enchanted creatures or enchantment creatures.,19353,['B'],2.0,common,2,Temple Thief,[],['B'],2,{1}{B}
Enchantment,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Artifacts and creatures your opponents control enter the battlefield tapped.",263,['W'],2.0,rare,,Blind Obedience,['Extort'],['W'],,{1}{W}
Creature — Zombie,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",14264,['U'],5.0,uncommon,4,Relentless Skaabs,['Undying'],['U'],4,{3}{U}{U}
Artifact — Equipment,"Equipped creature gets +3/+0.
As long as equipped creature is a Human, it has lifelink.
Equip {3}",8497,[],3.0,uncommon,,Butcher's Cleaver,['Equip'],[],,{3}
Instant,Destroy target artifact or enchantment.,875,['W'],2.0,common,,Disenchant,[],['W'],,{1}{W}
Sorcery,"Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Draw a card.",2485,['U'],2.0,common,,Contentious Plan,['Proliferate'],['U'],,{1}{U}
Artifact Creature — Construct,"When Corridor Monitor enters the battlefield, untap target artifact or creature you control.",5200,['U'],2.0,common,4,Corridor Monitor,[],['U'],1,{1}{U}
Creature — Treefolk Druid // Sorcery — Adventure,,11286,['G'],6.0,common,5,Tuinvale Treefolk // Oaken Boon,[],['G'],6,{5}{G} // {3}{G}
Enchantment Creature — Demon,"Bestow {3}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Flying
At the beginning of your upkeep, you lose 1 life.
Enchanted creature gets +3/+3 and has flying.",7979,['B'],3.0,rare,3,Herald of Torment,"['Flying', 'Bestow']",['B'],3,{1}{B}{B}
Legendary Creature — Angel,"Flying
Whenever you cast an instant or sorcery spell that targets a creature you control, exile that card instead of putting it into your graveyard as it resolves. If you do, return it to your hand at the beginning of the next end step.",2128,"['R', 'W']",3.0,rare,4,"Feather, the Redeemed",['Flying'],"['R', 'W']",3,{R}{W}{W}
Sorcery,"You draw two cards, lose 2 life, and put the top two cards of your library into your graveyard.",7514,['B'],3.0,common,,Funeral Rites,[],['B'],,{2}{B}
Creature — Dinosaur Cat,"Mutate {1}{R/W}{R/W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +2/+1 until end of turn.",11017,"['R', 'W']",2.0,uncommon,2,Regal Leosaur,['Mutate'],"['R', 'W']",2,{R}{W}
Instant,"Counter target creature spell.
Draw a card.",6291,['U'],4.0,common,,Bone to Ash,[],['U'],,{2}{U}{U}
Creature — Cat Beast,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
{4}{R}{G}: Frenzied Arynx gets +3/+0 until end of turn.",11636,"['G', 'R']",4.0,common,3,Frenzied Arynx,"['Trample', 'Riot']","['G', 'R']",3,{2}{R}{G}
Instant,"Exile target creature you control, then return it to the battlefield under its owner's control.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",2408,['W'],2.0,common,,Momentary Blink,['Flashback'],"['U', 'W']",,{1}{W}
Creature — Goblin Knight,Double strike,11595,['R'],3.0,common,2,Raging Redcap,['Double strike'],['R'],1,{2}{R}
Creature — Human Scout,"Constellation — Whenever an enchantment enters the battlefield under your control, target creature gets +1/+1 until end of turn.",15049,['W'],1.0,common,2,Pious Wayfarer,['Constellation'],['W'],1,{W}
Enchantment,Attacking non-Human creatures you control get +1/+0 and have trample.,6773,['R'],3.0,uncommon,,Ferocity of the Wilds,[],['R'],,{2}{R}
Instant,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)
Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",1744,['W'],1.0,common,,Gods Willing,['Scry'],['W'],,{W}
Creature — Ox,,12308,['W'],1.0,common,4,Yoked Ox,[],['W'],0,{W}
Creature — Wolverine,"Whenever you draw your second card each turn, Bloodhaze Wolverine gets +1/+1 and gains first strike until end of turn.",17720,['R'],2.0,common,1,Bloodhaze Wolverine,[],['R'],2,{1}{R}
Instant,Exile target creature.,12372,['B'],5.0,common,,Final Death,[],['B'],,{4}{B}
Instant,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.,4986,['W'],2.0,rare,,Sanguine Sacrament,[],['W'],,{X}{W}{W}
Creature — Siren,"Flash
Flying
When Threnody Singer enters the battlefield, target creature an opponent controls gets -X/-0 until end of turn, where X is your devotion to blue. (Each {U} in the mana costs of permanents you control counts towards your devotion to blue.)",16091,['U'],2.0,uncommon,3,Threnody Singer,"['Flying', 'Flash']",['U'],1,{1}{U}
Creature — Elemental,"Flying
Spells your opponents cast that target Boreal Elemental cost {2} more to cast.",13949,['U'],5.0,common,4,Boreal Elemental,['Flying'],['U'],3,{4}{U}
Enchantment,"As long as your life total is greater than or equal to your starting life total, creatures you control get +1/+1.
Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.",5368,['W'],3.0,rare,,Path of Bravery,[],['W'],,{2}{W}
Creature — Antelope Lizard,Flycatcher Giraffid enters the battlefield with your choice of a vigilance counter or a reach counter on it.,18716,['G'],5.0,common,5,Flycatcher Giraffid,[],['G'],3,{4}{G}
Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +1/+2.",11796,['W'],2.0,common,,Indomitable Will,"['Enchant', 'Flash']",['W'],,{1}{W}
Creature — Ogre Warrior,"When Undercity Scavenger enters the battlefield, you may sacrifice another creature. If you do, put two +1/+1 counters on Undercity Scavenger, then scry 2.",14153,['B'],4.0,common,3,Undercity Scavenger,['Scry'],['B'],3,{3}{B}
Creature — Pegasus,"Flying
{1}{W}: Sunmane Pegasus gains vigilance and lifelink until end of turn.",16730,['W'],4.0,common,3,Sunmane Pegasus,['Flying'],['W'],2,{3}{W}
Creature — Human Peasant,"Whenever you cast a creature spell that has an Adventure, draw a card. (It doesn't need to have gone on the adventure first.)",13901,['G'],1.0,uncommon,1,Edgewall Innkeeper,[],['G'],1,{G}
Land,"Scoured Barrens enters the battlefield tapped.
When Scoured Barrens enters the battlefield, you gain 1 life.
{T}: Add {W} or {B}.",250,[],0.0,common,,Scoured Barrens,[],"['B', 'W']",,
Enchantment Creature — Centaur Scout,,17364,['W'],3.0,common,4,Nyxborn Courser,[],['W'],2,{1}{W}{W}
Instant,Exile target creature with power 3 or less.,15210,['B'],3.0,uncommon,,Reaver Ambush,[],['B'],,{2}{B}
Creature — Harpy,"Flying
When Scavenging Harpy enters the battlefield, exile target card from an opponent's graveyard.",18115,['B'],3.0,common,1,Scavenging Harpy,['Flying'],['B'],2,{2}{B}
Sorcery,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. You may put a card that has an Adventure that player owns from exile into that player's graveyard.,15969,['B'],3.0,common,,Memory Theft,[],['B'],,{2}{B}
Creature — Human Soldier,"When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying.",3154,['W'],1.0,common,1,Doomed Traveler,[],['W'],1,{W}
Creature — Zombie Wizard,"Whenever Undead Augur or another Zombie you control dies, you draw a card and you lose 1 life.",3213,['B'],2.0,uncommon,2,Undead Augur,[],['B'],2,{B}{B}
Creature — Nightmare Horse,"Underworld Charger can't block.
Escape—{4}{B}, Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
Underworld Charger escapes with two +1/+1 counters on it.",16992,['B'],3.0,common,3,Underworld Charger,['Escape'],['B'],3,{2}{B}
Sorcery,"You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",11653,['G'],3.0,uncommon,,Giant Opportunity,[],['G'],,{2}{G}
Enchantment,"Whenever a creature you control dies, you gain 1 life and draw a card.",1355,"['B', 'G']",5.0,uncommon,,Moldervine Reclamation,[],"['B', 'G']",,{3}{B}{G}
Creature — Zombie,"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.",10948,['B'],4.0,uncommon,2,Abattoir Ghoul,['First strike'],['B'],3,{3}{B}
Creature — Thrull,"Flying
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",7133,"['B', 'W']",3.0,common,2,Kingpin's Pet,"['Flying', 'Extort']","['B', 'W']",2,{1}{W}{B}
Artifact,"{3}, {T}, Sacrifice Scalding Cauldron: It deals 3 damage to target creature.",14743,[],1.0,common,,Scalding Cauldron,[],[],,{1}
Artifact,"Weapon Rack enters the battlefield with three +1/+1 counters on it.
{T}: Move a +1/+1 counter from Weapon Rack onto target creature. Activate this ability only any time you could cast a sorcery.",11492,[],4.0,common,,Weapon Rack,[],[],,{4}
Creature — Merfolk Wizard,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
{1}{U}, {T}: Move a +1/+1 counter from Simic Fluxmage onto target creature.",8745,['U'],3.0,uncommon,2,Simic Fluxmage,[],['U'],1,{2}{U}
Artifact — Equipment,"Equipped creature has flying.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",5191,[],2.0,common,,Cobbled Wings,['Equip'],[],,{2}
Creature — Zombie Drake,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Scrapskin Drake can block only creatures with flying.",14744,['U'],3.0,common,3,Scrapskin Drake,['Flying'],['U'],2,{2}{U}
Sorcery,Gain control of target creature with converted mana cost 3 or less until end of turn. Untap that creature. It gains haste until end of turn.,9007,['R'],1.0,uncommon,,Claim the Firstborn,[],['R'],,{R}
Creature — Human Wizard,{T}: Exile target creature card from a graveyard.,13936,['W'],2.0,uncommon,2,Thraben Heretic,[],['W'],2,{1}{W}
Creature — Insect,"Flash
Flying
When Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn.",17977,['B'],3.0,uncommon,1,Spire Mangler,"['Flying', 'Flash']",['B'],2,{2}{B}
Creature — Spirit,"Flying
When Tower Geist enters the battlefield, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",12536,['U'],4.0,uncommon,2,Tower Geist,['Flying'],['U'],2,{3}{U}
Creature — Elemental Wizard,"Flying
Haste (This creature can attack and {T} as soon as it comes under your control.)",9145,"['R', 'U']",2.0,uncommon,2,Lightning Stormkin,"['Flying', 'Haste']","['R', 'U']",2,{U}{R}
Creature — Elemental Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other Elementals you control have trample.",5583,['G'],4.0,common,3,Thicket Crasher,['Trample'],['G'],4,{3}{G}
Creature — Human Cleric,"Whenever another creature enters the battlefield under your control, you gain 1 life.",4868,['W'],2.0,common,2,Impassioned Orator,[],['W'],2,{1}{W}
Land,"Temple of Epiphany enters the battlefield tapped.
When Temple of Epiphany enters the battlefield, scry 1.
{T}: Add {U} or {R}.",235,[],0.0,rare,,Temple of Epiphany,['Scry'],"['R', 'U']",,
Creature — Zombie,Diregraf Ghoul enters the battlefield tapped.,8001,['B'],1.0,uncommon,2,Diregraf Ghoul,[],['B'],2,{B}
Creature — Human Peasant // Instant — Adventure,,6620,['W'],1.0,rare,2,Giant Killer // Chop Down,[],['W'],1,{W} // {2}{W}
Creature — Goblin Warrior,"Bloodrush — {R}, Discard Skinbrand Goblin: Target attacking creature gets +2/+1 until end of turn.",12664,['R'],2.0,common,1,Skinbrand Goblin,['Bloodrush'],['R'],2,{1}{R}
Creature — Cat,"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated.",9252,['W'],4.0,uncommon,4,Huntmaster Liger,['Mutate'],['W'],3,{3}{W}
Creature — Gorgon,"Escape—{5}{B}, Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
Pharika's Spawn escapes with two +1/+1 counters on it. When it enters the battlefield this way, each opponent sacrifices a non-Gorgon creature.",13003,['B'],4.0,uncommon,4,Pharika's Spawn,['Escape'],['B'],3,{3}{B}
Instant,Return target creature or enchantment an opponent controls to its owner's hand.,10823,['U'],1.0,common,,Stern Dismissal,[],['U'],,{U}
Enchantment,"Flash
When Omen of the Sun enters the battlefield, create two 1/1 white Human Soldier creature tokens and you gain 2 life.
{2}{W}, Sacrifice Omen of the Sun: Scry 2.",8315,['W'],3.0,common,,Omen of the Sun,"['Flash', 'Scry']",['W'],,{2}{W}
Creature — Griffin,Flying,13947,['W'],4.0,common,2,Assault Griffin,['Flying'],['W'],3,{3}{W}
Enchantment — Aura,"Enchant creature
Enchanted creature gets -3/-3.",13328,['B'],2.0,common,,Mire's Grasp,['Enchant'],['B'],,{1}{B}
Enchantment Creature — Minotaur,,18235,['B'],4.0,common,3,Nyxborn Marauder,[],['B'],4,{2}{B}{B}
Creature — Vampire,"When Driver of the Dead dies, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.",9558,['B'],4.0,common,2,Driver of the Dead,[],['B'],3,{3}{B}
Creature — Human Cleric,"When Keensight Mentor enters the battlefield, put a vigilance counter on target non-Human creature you control.
{1}{W}, {T}: Put a +1/+1 counter on each creature you control with vigilance.",14033,['W'],3.0,uncommon,4,Keensight Mentor,[],['W'],1,{2}{W}
Legendary Creature — Human Wizard,"Skip your draw step.
At the beginning of your upkeep, look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.
{B}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn.",3026,"['B', 'U']",5.0,rare,4,"Taigam, Sidisi's Hand",[],"['B', 'U']",3,{3}{U}{B}
Creature — Human Assassin,"Flash
When Lurking Deadeye enters the battlefield, destroy target creature that was dealt damage this turn.",15382,['B'],4.0,common,2,Lurking Deadeye,['Flash'],['B'],4,{3}{B}
Instant,"Target creature gets -4/-0 until end of turn.
Draw a card.",12787,['U'],3.0,common,,Befuddle,[],['U'],,{2}{U}
Artifact Creature — Gnome,"Adamant — When Clockwork Servant enters the battlefield, if at least three mana of the same color was spent to cast it, draw a card.",12119,[],3.0,uncommon,3,Clockwork Servant,['Adamant'],[],2,{3}
Creature — Zombie Satyr,"When Discordant Piper dies, create a 0/1 white Goat creature token.",11934,['B'],2.0,common,1,Discordant Piper,[],['B'],2,{1}{B}
Creature — Human Wizard,"{1}{W}{B}: Target creature gains lifelink until end of turn.
{1}{W}{B}: Whenever you gain life this turn, each opponent loses that much life.",1437,"['B', 'W']",2.0,uncommon,2,Vizkopa Guildmage,[],"['B', 'W']",2,{W}{B}
Enchantment — Aura,"Enchant creature
Heliod's Punishment enters the battlefield with four task counters on it.
Enchanted creature can't attack or block. It loses all abilities and has ""{T}: Remove a task counter from Heliod's Punishment. Then if it has no task counters on it, destroy Heliod's Punishment.""",10129,['W'],2.0,uncommon,,Heliod's Punishment,['Enchant'],['W'],,{1}{W}
Creature — Human Wizard,"When Elite Instructor enters the battlefield, draw a card, then discard a card.",14647,['U'],3.0,common,2,Elite Instructor,[],['U'],2,{2}{U}
Creature — Zombie Soldier,"Deathtouch
Other Zombie creatures you control get +1/+1.
Whenever another Zombie you control dies, target opponent loses 1 life.",1385,"['B', 'U']",3.0,uncommon,2,Diregraf Captain,['Deathtouch'],"['B', 'U']",2,{1}{U}{B}
Land — Mountain,"({T}: Add {R}.)
Dwarven Mine enters the battlefield tapped unless you control three or more other Mountains.
When Dwarven Mine enters the battlefield untapped, create a 1/1 red Dwarf creature token.",3731,[],0.0,common,,Dwarven Mine,[],['R'],,
Instant,Target creature you control gets +2/+1 until end of turn. Each other creature you control gets +1/+1 until end of turn.,10054,['W'],2.0,uncommon,,Phalanx Tactics,[],['W'],,{1}{W}
Creature — Angel,"Flying
When Goldnight Redeemer enters the battlefield, you gain 2 life for each other creature you control.",9298,['W'],6.0,uncommon,4,Goldnight Redeemer,['Flying'],['W'],4,{4}{W}{W}
Instant,"Exile target artifact or enchantment.
Draw a card.",7757,['W'],4.0,common,,True Love's Kiss,[],['W'],,{2}{W}{W}
Sorcery,"Draw three cards.
Adamant — If at least three blue mana was spent to cast this spell, scry 3.",10031,['U'],5.0,common,,Unexplained Vision,"['Adamant', 'Scry']",['U'],,{4}{U}
Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.",1806,['W'],2.0,uncommon,,All That Glitters,['Enchant'],['W'],,{1}{W}
Creature — Zombie Rat,,13269,['B'],2.0,common,2,Gutter Skulk,[],['B'],2,{1}{B}
Instant,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),5926,['U'],1.0,common,,Dive Down,[],['U'],,{U}
Artifact,"{3}, {T}: Retributive Wand deals 1 damage to any target.
When Retributive Wand is put into a graveyard from the battlefield, it deals 5 damage to any target.",11887,[],3.0,uncommon,,Retributive Wand,[],[],,{3}
Instant,"Destroy target artifact or enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)",10160,['G'],2.0,common,,Wilt,['Cycling'],['G'],,{1}{G}
Creature — Goblin Warrior,"Whenever Redcap Raiders attacks, you may tap an untapped non-Human creature you control. If you do, Redcap Raiders gets +1/+1 and gains trample until end of turn.",14142,['R'],3.0,common,2,Redcap Raiders,[],['R'],3,{2}{R}
Creature — Human Knight // Sorcery — Adventure,,5074,['B'],2.0,common,1,Smitten Swordmaster // Curry Favor,['Lifelink'],['B'],2,{1}{B} // {B}
Sorcery,"Put a +1/+1 counter on each creature you control.
Adamant — If at least three white mana was spent to cast this spell, creatures you control gain vigilance until end of turn.",10624,['W'],4.0,common,,Silverflame Ritual,['Adamant'],['W'],,{3}{W}
Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I — Scry 2.
II — Choose a card name.
III — When you cast a spell with the chosen card name for the first time this turn, draw two cards.
IV — Look at the top card of each player's library.",8006,['U'],2.0,uncommon,,Medomai's Prophecy,['Scry'],['U'],,{1}{U}
Creature — Elemental,Ivy Elemental enters the battlefield with X +1/+1 counters on it.,8034,['G'],1.0,uncommon,0,Ivy Elemental,[],['G'],0,{X}{G}
Enchantment — Aura,"Enchant creature
When Angelic Gift enters the battlefield, draw a card.
Enchanted creature has flying.",5260,['W'],2.0,common,,Angelic Gift,['Enchant'],['W'],,{1}{W}
Instant,"Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.
Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",2153,['U'],3.0,common,,Forbidden Alchemy,['Flashback'],"['B', 'U']",,{2}{U}
Creature — Zombie,"Other Zombies you control get +1/+1.
{1}{B}, {T}: All Zombies gain menace until end of turn.",1373,['B'],3.0,uncommon,3,Lord of the Accursed,[],['B'],2,{2}{B}
Creature — Angel,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may create a 1/1 white Bird creature token with flying.",2104,['W'],4.0,rare,3,Emeria Angel,"['Landfall', 'Flying']",['W'],3,{2}{W}{W}
Enchantment,Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.,9101,['R'],2.0,uncommon,,Crackling Perimeter,[],['R'],,{1}{R}
Creature — Zombie,"When Gray Merchant of Asphodel enters the battlefield, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",170,['B'],5.0,uncommon,4,Gray Merchant of Asphodel,[],['B'],2,{3}{B}{B}
Creature — Gorgon Cleric,"Deathtouch
When Venomous Hierophant enters the battlefield, put the top three cards of your library into your graveyard.",12889,['B'],4.0,common,3,Venomous Hierophant,['Deathtouch'],['B'],3,{3}{B}
Sorcery,"As an additional cost to cast this spell, reveal a creature card from your hand.
Charge of the Forever-Beast deals damage to target creature or planeswalker equal to the revealed card's power.",17169,['G'],3.0,uncommon,,Charge of the Forever-Beast,[],['G'],,{2}{G}
Artifact Creature — Golem,"Adamant — If at least three mana of the same color was spent to cast this spell, Henge Walker enters the battlefield with a +1/+1 counter on it.",15280,[],3.0,common,2,Henge Walker,['Adamant'],[],2,{3}
Creature — Zombie Horror,"As an additional cost to cast this spell, exile a creature card from your graveyard.",17203,['U'],4.0,common,5,Makeshift Mauler,[],['U'],4,{3}{U}
