type_line,oracle_text,edhrec_rank,colors,cmc,rarity,toughness,name,keywords,color_identity,power,mana_cost
Creature — Human Knight,First strike,11023,['W'],2.0,common,1,Youthful Knight,['First strike'],['W'],2,{1}{W}
Instant,Target player gains 2 life for each creature on the battlefield.,4883,['W'],4.0,uncommon,,Congregate,[],['W'],,{3}{W}
Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy target creature an opponent controls with power 2 or less.
II — Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.
III — Exile target opponent's graveyard.",9221,['B'],3.0,uncommon,,Elspeth's Nightmare,[],['B'],,{2}{B}
Enchantment Creature — Sphinx,"Flying
{3}{U}: Scry 1.",14632,['U'],5.0,common,4,Witness of Tomorrows,"['Scry', 'Flying']",['U'],3,{4}{U}
Artifact,"When Glass Casket enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less until Glass Casket leaves the battlefield.",11295,['W'],2.0,uncommon,,Glass Casket,[],['W'],,{1}{W}
Enchantment,"Creatures you control get +0/+1.
When Fortifying Provisions enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",12094,['W'],3.0,common,,Fortifying Provisions,[],['W'],,{2}{W}
Creature — Zombie Drake,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Flying",14149,['U'],3.0,common,4,Stitched Drake,['Flying'],['U'],3,{1}{U}{U}
Sorcery,Return up to three target creatures and/or enchantments to their owners' hands.,14909,['U'],6.0,uncommon,,Sea God's Scorn,[],['U'],,{4}{U}{U}
Creature — Angel,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",10206,['W'],4.0,common,4,Seraph of Dawn,"['Flying', 'Lifelink']",['W'],2,{2}{W}{W}
Instant,Target opponent sacrifices a creature. You gain life equal to that creature's toughness.,7071,['B'],3.0,uncommon,,Tribute to Hunger,[],['B'],,{2}{B}
Enchantment — Aura,"Enchant creature
Enchanted creature loses all abilities and is a blue Fish with base power and toughness 0/1.",8294,['U'],3.0,common,,Ichthyomorphosis,['Enchant'],['U'],,{2}{U}
Sorcery,"Target player loses 2 life.
Escape—{3}{B}, Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",17608,['B'],1.0,common,,Fruit of Tizerus,['Escape'],['B'],,{B}
Artifact Creature — Knight,"Vigilance (Attacking doesn't cause this creature to tap.)
As Diamond Knight enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.",9353,[],3.0,uncommon,1,Diamond Knight,['Vigilance'],[],1,{3}
Creature — Specter // Sorcery — Adventure,,12101,['B'],7.0,common,5,Reaper of Night // Harvest Fear,[],['B'],4,{5}{B}{B} // {3}{B}
Artifact — Vehicle,"When Enchanted Carriage enters the battlefield, create two 1/1 white Mouse creature tokens.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",9432,[],5.0,uncommon,4,Enchanted Carriage,['Crew'],[],4,{5}
Instant,"For each spell and ability your opponents control, counter it unless its controller pays {4}.",4788,['U'],3.0,uncommon,,Whirlwind Denial,[],['U'],,{2}{U}
Creature — Merfolk Rogue,"When Moonlit Scavengers enters the battlefield, if you control an artifact or enchantment, return target creature an opponent controls to its owner's hand.",16568,['U'],6.0,common,5,Moonlit Scavengers,[],['U'],4,{5}{U}
Land,"Blossoming Sands enters the battlefield tapped.
When Blossoming Sands enters the battlefield, you gain 1 life.
{T}: Add {G} or {W}.",401,[],0.0,common,,Blossoming Sands,[],"['G', 'W']",,
Enchantment — Aura,"Enchant creature without flying
Enchanted creature can't attack or block, and its activated abilities can't be activated.",9530,['W'],2.0,common,,Trapped in the Tower,['Enchant'],['W'],,{1}{W}
Legendary Enchantment Creature — Demigod,"Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Whenever another creature you control enters the battlefield or dies, you gain 1 life.",3196,['W'],2.0,uncommon,*,"Daxos, Blessed by the Sun",[],['W'],2,{W}{W}
Creature — Angel,"Flying, vigilance",5977,['W'],1.0,common,1,Segovian Angel,"['Flying', 'Vigilance']",['W'],1,{W}
Creature — Angel,"Flying
At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.",2138,['W'],6.0,rare,4,Angelic Skirmisher,"['Flying', 'Vigilance']",['W'],4,{4}{W}{W}
Artifact Creature — Golem,{2}: Add one mana of any color.,8168,[],2.0,common,1,Prismite,[],[],2,{2}
Instant,"Creatures your opponents control get -2/-0 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",16813,['U'],2.0,common,,Hampering Snare,['Cycling'],['U'],,{1}{U}
Creature — Angel,"Flying
If you would gain life, you gain that much life plus 1 instead.
Angel of Vitality gets +2/+2 as long as you have 25 or more life.",3651,['W'],3.0,uncommon,2,Angel of Vitality,['Flying'],['W'],2,{2}{W}
Creature — Human Cleric,"When Fiend Hunter enters the battlefield, you may exile another target creature.
When Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control.",1060,['W'],3.0,uncommon,3,Fiend Hunter,[],['W'],1,{1}{W}{W}
Instant,"Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.
Cycling {1} ({1}, Discard this card: Draw a card.)",14298,['U'],5.0,common,,Frostveil Ambush,['Cycling'],['U'],,{3}{U}{U}
Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle your library.
II — Create a 0/4 colorless Wall artifact creature token with defender.
III — You gain 2 life.",6392,['W'],2.0,uncommon,,The Birth of Meletis,[],['W'],,{1}{W}
Creature — Zombie Wizard,"When Eternal Skylord enters the battlefield, amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)
Zombie tokens you control have flying.",4297,['U'],5.0,uncommon,3,Eternal Skylord,['Amass'],['U'],3,{4}{U}
Enchantment Creature — Demon,"Flying
Enemy of Enlightenment gets -1/-1 for each card in your opponents' hands.
At the beginning of your upkeep, each player discards a card.",15843,['B'],6.0,uncommon,5,Enemy of Enlightenment,['Flying'],['B'],5,{5}{B}
Instant,"Choose one or both —
• Counter target creature spell.
• Return target creature card from your graveyard to your hand.",3344,"['B', 'U']",3.0,uncommon,,Soul Manipulation,[],"['B', 'U']",,{1}{U}{B}
Creature — Human Rogue,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control.",5569,['U'],1.0,uncommon,1,Nephalia Smuggler,[],['U'],1,{U}
Creature — Human Cleric,Lifelink (Damage dealt by this creature also causes you to gain that much life.),13017,['W'],2.0,common,3,Daybreak Chaplain,['Lifelink'],['W'],1,{1}{W}
Instant,Target creature gets +3/+2 until end of turn.,5852,['R'],1.0,common,,Infuriate,[],['R'],,{R}
Creature — Elemental Cat,"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",8609,['U'],3.0,common,2,Frost Lynx,[],['U'],2,{2}{U}
Creature — Skeleton,{2}{B}: Return Sanitarium Skeleton from your graveyard to your hand.,5095,['B'],1.0,common,2,Sanitarium Skeleton,[],['B'],1,{B}
Instant,"Destroy target non-Vampire, non-Werewolf, non-Zombie creature.",2693,['B'],2.0,common,,Victim of Night,[],['B'],,{B}{B}
Sorcery,Target creature you control deals damage equal to its power to target creature you don't control.,4276,['G'],2.0,common,,Rabid Bite,[],['G'],,{1}{G}
Artifact,"{2}, {T}, Sacrifice Vial of Dragonfire: It deals 2 damage to target creature.",14276,[],2.0,common,,Vial of Dragonfire,[],[],,{2}
Creature — Zombie,"Gravecrawler can't block.
You may cast Gravecrawler from your graveyard as long as you control a Zombie.",1184,['B'],1.0,rare,1,Gravecrawler,[],['B'],2,{B}
Enchantment — Aura,"Enchant creature or enchantment
Enchanted permanent is an enchantment and loses all other card types. (It still has its abilities, but it's no longer a creature.)",10753,['U'],4.0,uncommon,,One with the Stars,['Enchant'],['U'],,{3}{U}
Enchantment — Aura,"Enchant land
Enchanted land has ""{T}, Pay 1 life: Draw a card.""",732,['B'],3.0,rare,,Underworld Connections,['Enchant'],['B'],,{1}{B}{B}
Artifact — Equipment,"When Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",7884,['W'],2.0,uncommon,,Ancestral Blade,['Equip'],['W'],,{1}{W}
Sorcery,"Draw a card.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",8621,['U'],4.0,common,,Last Thoughts,['Cipher'],['U'],,{3}{U}
Instant,Counter target noncreature spell.,56,['U'],2.0,common,,Negate,[],['U'],,{1}{U}
Creature — Egg,"Whenever this creature mutates, put a +1/+1 counter on it.",9408,[],1.0,common,2,Mysterious Egg,[],[],0,{1}
Sorcery,"Exile target creature and all other creatures with the same name as that creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",5633,['B'],4.0,rare,,Sever the Bloodline,['Flashback'],['B'],,{3}{B}
Sorcery,"Draw three cards, untap up to two lands, then discard a card.",6259,['U'],5.0,uncommon,,Pore Over the Pages,[],['U'],,{3}{U}{U}
Creature — Spirit,"Flying
As long as Dearly Departed is in your graveyard, each Human creature you control enters the battlefield with an additional +1/+1 counter on it.",9673,['W'],6.0,rare,5,Dearly Departed,['Flying'],['W'],5,{4}{W}{W}
Instant,"Fire Prophecy deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card.",12942,['R'],2.0,common,,Fire Prophecy,[],['R'],,{1}{R}
Artifact — Equipment,"Equipped creature gets +2/+0.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",12675,[],1.0,common,,Bronze Sword,['Equip'],[],,{1}
Enchantment,"If an opponent would gain life, that player loses that much life instead.",2777,['B'],3.0,rare,,Tainted Remedy,[],['B'],,{2}{B}
Enchantment,"Flash
When Omen of the Dead enters the battlefield, return target creature card from your graveyard to your hand.
{2}{B}, Sacrifice Omen of the Dead: Scry 2.",6693,['B'],1.0,common,,Omen of the Dead,"['Flash', 'Scry']",['B'],,{B}
Enchantment — Aura,"Enchant creature
You control enchanted creature.
Enchanted creature has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)",1714,['U'],5.0,uncommon,,Corrupted Conscience,['Enchant'],['U'],,{3}{U}{U}
Creature — Human Cleric,"When Cathedral Sanctifier enters the battlefield, you gain 3 life.",11581,['W'],1.0,common,1,Cathedral Sanctifier,[],['W'],1,{W}
Enchantment Creature — Nymph,"Lifelink
{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn.",5779,['W'],1.0,uncommon,1,Alseid of Life's Bounty,['Lifelink'],['W'],1,{W}
Sorcery,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,1036,['B'],5.0,rare,,Beacon of Unrest,[],['B'],,{3}{B}{B}
Creature — Human Peasant // Instant — Adventure,,6170,['R'],3.0,common,3,Merchant of the Vale // Haggle,[],['R'],2,{2}{R} // {R}
Enchantment,"Whenever you draw your second card each turn, create a 1/1 blue Faerie creature token with flying.
{4}{U}{R}: Draw a card, then discard a card.",6028,"['R', 'U']",2.0,uncommon,,Improbable Alliance,[],"['R', 'U']",,{U}{R}
Instant,Put target nonland permanent on top of its owner's library.,9361,['U'],5.0,common,,Totally Lost,[],['U'],,{4}{U}
Artifact — Equipment,"Equipped creature gets +1/+0 and can't be blocked by creatures with flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",8982,[],1.0,common,,Skyblinder Staff,['Equip'],[],,{1}
Enchantment,"At the beginning of your upkeep, draw a card if you control a creature with the greatest power among creatures on the battlefield. Otherwise, put a +1/+1 counter on a creature you control.",7450,"['G', 'U']",3.0,uncommon,,Primal Empathy,[],"['G', 'U']",,{1}{G}{U}
Instant,"Draw a card.
Escape—{2}{U}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",11009,['U'],2.0,uncommon,,Glimpse of Freedom,['Escape'],['U'],,{1}{U}
Sorcery,Each player sacrifices two creatures.,3727,['B'],4.0,uncommon,,Barter in Blood,[],['B'],,{2}{B}{B}
Sorcery,Add seven {R}. You can cast only one more spell this turn.,6029,['R'],4.0,rare,,Irencrag Feat,[],['R'],,{1}{R}{R}{R}
Artifact Creature — Wall,"Defender, reach
{T}: Brimstone Trebuchet deals 1 damage to each opponent.
Whenever a Knight enters the battlefield under your control, untap Brimstone Trebuchet.",7436,['R'],3.0,common,3,Brimstone Trebuchet,"['Reach', 'Defender']",['R'],1,{2}{R}
Sorcery,Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.,12394,['B'],2.0,uncommon,,Agonizing Remorse,[],['B'],,{1}{B}
Creature — Human Rogue,"{T}: Draw a card, then exile a card from your hand face down.
You may look at cards exiled with Bane Alley Broker.
{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.",12497,"['B', 'U']",3.0,uncommon,3,Bane Alley Broker,[],"['B', 'U']",0,{1}{U}{B}
Artifact Creature — Bird,"Flying
First strike (This creature deals combat damage before creatures without first strike.)",14008,[],4.0,common,1,Anvilwrought Raptor,"['Flying', 'First strike']",[],2,{4}
Creature — Human Wizard,"When Boneclad Necromancer enters the battlefield, you may exile target creature card from a graveyard. If you do, create a 2/2 black Zombie creature token.",12715,['B'],5.0,common,3,Boneclad Necromancer,[],['B'],3,{3}{B}{B}
Instant,Return target nonland permanent to its owner's hand. Then that player discards a card if you control a Zombie.,7210,['U'],2.0,uncommon,,Compelling Deterrence,[],['U'],,{1}{U}
Legendary Creature — Giant Noble,"Yorvo, Lord of Garenbrig enters the battlefield with four +1/+1 counters on it.
Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on Yorvo. Then if that creature's power is greater than Yorvo's power, put another +1/+1 counter on Yorvo.",5490,['G'],3.0,rare,0,"Yorvo, Lord of Garenbrig",[],['G'],0,{G}{G}{G}
Creature — Angel,"Flying
When Voice of the Provinces enters the battlefield, create a 1/1 white Human creature token.",15471,['W'],6.0,common,3,Voice of the Provinces,['Flying'],['W'],3,{4}{W}{W}
Creature — Zombie Wizard,"When Gleaming Overseer enters the battlefield, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)
Zombie tokens you control have hexproof and menace.",3500,"['B', 'U']",3.0,uncommon,4,Gleaming Overseer,['Amass'],"['B', 'U']",1,{1}{U}{B}
Creature — Human Knight // Instant — Adventure,,8451,['W'],3.0,common,3,Ardenvale Tactician // Dizzying Swoop,['Flying'],['W'],2,{1}{W}{W} // {1}{W}
Creature — Human Soldier,"Whenever you cast a creature spell that has an Adventure, Garenbrig Squire gets +1/+1 until end of turn. (It doesn't need to have gone on the adventure first.)",18059,['G'],2.0,common,2,Garenbrig Squire,[],['G'],2,{1}{G}
Creature — Bird Horror,"Flying
Whenever Thrummingbird deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1170,['U'],2.0,uncommon,1,Thrummingbird,"['Flying', 'Proliferate']",['U'],1,{1}{U}
Land,"Field of the Dead enters the battlefield tapped.
{T}: Add {C}.
Whenever Field of the Dead or another land enters the battlefield under your control, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.",516,[],0.0,rare,,Field of the Dead,[],[],,
Artifact Creature — Bird,"Flying
When Thaumaturge's Familiar enters the battlefield, scry 1.",14684,[],3.0,common,3,Thaumaturge's Familiar,"['Scry', 'Flying']",[],1,{3}
Creature — Human Soldier,"When Battalion Foot Soldier enters the battlefield, you may search your library for any number of cards named Battalion Foot Soldier, reveal them, put them into your hand, then shuffle your library.",19403,['W'],3.0,common,2,Battalion Foot Soldier,[],['W'],2,{2}{W}
Enchantment,"If a cycling ability of another nonland card would cause you to draw a card, instead exile cards from the top of your library until you exile a card that shares a card type with the cycled card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of your library in a random order.
Cycling {2} ({2}, Discard this card: Draw a card.)",8373,['R'],5.0,rare,,Unpredictable Cyclone,['Cycling'],['R'],,{3}{R}{R}
Legendary Creature — Spirit Cleric,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat.",5161,"['U', 'W']",3.0,mythic,2,Geist of Saint Traft,['Hexproof'],"['U', 'W']",2,{1}{W}{U}
Instant,Destroy target Human creature.,15429,['B'],1.0,uncommon,,Human Frailty,[],['B'],,{B}
Creature — Beast,"When Blight-Breath Catoblepas enters the battlefield, target creature an opponent controls gets -X/-X until end of turn, where X is your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",15569,['B'],6.0,common,2,Blight-Breath Catoblepas,[],['B'],3,{4}{B}{B}
Creature — Human Knight // Sorcery — Adventure,,5286,['R'],2.0,uncommon,1,Embereth Shieldbreaker // Battle Display,[],['R'],2,{1}{R} // {R}
Creature — Spirit,Flying,16639,['W'],3.0,common,3,Chapel Geist,['Flying'],['W'],2,{1}{W}{W}
Creature — Human Wizard,"{2}{U}, {T}, Exile a creature card from your graveyard: Create a 2/2 black Zombie creature token, then put a +1/+1 counter on each Zombie creature you control.",7631,['U'],4.0,rare,2,Havengul Runebinder,[],['U'],2,{2}{U}{U}
Instant,"You may sacrifice a Food. If you do, target creature gets +5/+5 until end of turn. Otherwise, that creature gets +3/+3 until end of turn.",14889,['G'],2.0,common,,Insatiable Appetite,[],['G'],,{1}{G}
Enchantment — Aura,"Flash
Enchant creature you control
When Starlit Mantle enters the battlefield, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+1.",10114,['U'],2.0,common,,Starlit Mantle,"['Enchant', 'Flash']",['U'],,{1}{U}
Creature — Zombie,"Noosegraf Mob enters the battlefield with five +1/+1 counters on it.
Whenever a player casts a spell, remove a +1/+1 counter from Noosegraf Mob. If you do, create a 2/2 black Zombie creature token.",1827,['B'],6.0,rare,0,Noosegraf Mob,[],['B'],0,{4}{B}{B}
Creature — Beast,"Mutate {2}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",4958,['G'],4.0,common,4,Migratory Greathorn,['Mutate'],['G'],3,{3}{G}
Creature — Turtle,"Whenever Mistford River Turtle attacks, another target attacking non-Human creature can't be blocked this turn.",14138,['U'],4.0,common,5,Mistford River Turtle,[],['U'],1,{3}{U}
Sorcery,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature.",3351,['B'],1.0,common,,Bone Splinters,[],['B'],,{B}
Sorcery,Destroy all nonland permanents.,1874,['W'],6.0,rare,,Planar Cleansing,[],['W'],,{3}{W}{W}{W}
Creature — Human Scout,"Flash (You may cast this spell any time you could cast an instant.)
When Village Bell-Ringer enters the battlefield, untap all creatures you control.",3540,['W'],3.0,common,4,Village Bell-Ringer,['Flash'],['W'],1,{2}{W}
Artifact,"{T}: Add one mana of any color.
{5}, {T}: Tap target creature.",5891,[],3.0,uncommon,,Spinning Wheel,[],[],,{3}
Creature — Human Soldier,Double strike (This creature deals both first-strike and regular combat damage.),7127,['W'],2.0,common,1,Fencing Ace,['Double strike'],['W'],1,{1}{W}
Creature — Merfolk Wizard,"When Watertrap Weaver enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",8223,['U'],3.0,common,2,Watertrap Weaver,[],['U'],2,{2}{U}
Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),2840,['R'],3.0,common,,Act of Treason,[],['R'],,{2}{R}
Enchantment — Aura,"Enchant creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice a creature.""",11566,['B'],3.0,uncommon,,Inevitable End,['Enchant'],['B'],,{2}{B}
Artifact,"Wishclaw Talisman enters the battlefield with three wish counters on it.
{1}, {T}, Remove a wish counter from Wishclaw Talisman: Search your library for a card, put it into your hand, then shuffle your library. An opponent gains control of Wishclaw Talisman. Activate this ability only during your turn.",2088,['B'],2.0,rare,,Wishclaw Talisman,[],['B'],,{1}{B}
Creature — Giant,This spell costs {1} less to cast for each enchantment you control.,15080,['U'],7.0,common,6,Brine Giant,[],['U'],5,{6}{U}
Instant,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. Otherwise, you draw a card.
Escape—{3}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",10003,['B'],1.0,uncommon,,Cling to Dust,['Escape'],['B'],,{B}
Instant,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile target card from a graveyard.",785,['G'],2.0,common,,Return to Nature,[],['G'],,{1}{G}
Instant,Outflank deals damage to target attacking or blocking creature equal to the number of creatures you control.,12299,['W'],1.0,common,,Outflank,[],['W'],,{W}
Sorcery,"This spell costs {3} less to cast if you control a creature with menace.
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",17409,['R'],4.0,common,,Tentative Connection,[],['R'],,{3}{R}
Artifact — Equipment,"Equipped creature gets +1/+2.
Whenever you draw your second card each turn, attach Mantle of Tides to target creature you control.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",13557,['U'],1.0,common,,Mantle of Tides,['Equip'],['U'],,{U}
Enchantment — Aura,"Enchant creature
Enchanted creature gets +2/+2 and can't block.",12482,['R'],2.0,common,,Maniacal Rage,['Enchant'],['R'],,{1}{R}
Enchantment,"Whenever you gain life, you may pay {2}. If you do, draw a card.
{3}{W}: Create a 1/1 white Soldier creature token with lifelink.",942,['W'],2.0,rare,,Dawn of Hope,[],['W'],,{1}{W}
Artifact,"Your devotion to each color and each combination of colors is increased by one.
{T}: Add one mana of any color. If you control a God, a Demigod, or a legendary enchantment, you gain 1 life.",3933,[],3.0,common,,Altar of the Pantheon,[],[],,{3}
Artifact Creature — Food Golem,"Haste
{1}: Gingerbrute can't be blocked this turn except by creatures with haste.
{2}, {T}, Sacrifice Gingerbrute: You gain 3 life.",4857,[],1.0,common,1,Gingerbrute,['Haste'],[],1,{1}
Creature — Archon,"Flying
Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)
Creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures.",5065,['W'],4.0,uncommon,2,Archon of Absolution,"['Flying', 'Protection']",['W'],3,{3}{W}
Artifact Creature — Wall,"Defender
{T}: Creatures you control gain haste until end of turn.",2322,[],2.0,common,4,Crashing Drawbridge,['Defender'],[],0,{2}
Instant,Destroy target attacking creature.,11515,['W'],3.0,common,,Rebuke,[],['W'],,{2}{W}
Sorcery,Choose target creature you control and target creature you don't control. The creature you control gets +2/+1 until end of turn if it's a Knight. Then those creatures fight each other. (Each deals damage equal to its power to the other.),11482,['R'],2.0,uncommon,,Joust,['Fight'],['R'],,{1}{R}
Creature — Horror,"When Yarok's Fenlurker enters the battlefield, each opponent exiles a card from their hand.
{2}{B}: Yarok's Fenlurker gets +1/+1 until end of turn.",6488,['B'],2.0,uncommon,1,Yarok's Fenlurker,[],['B'],1,{B}{B}
Creature — Faerie,"Flying
Each creature you control that has an Adventure enters the battlefield with an additional +1/+1 counter on it. (It doesn't need to have gone on the adventure first.)",15766,['W'],3.0,uncommon,2,Mysterious Pathlighter,['Flying'],['W'],2,{2}{W}
Land — Plains,"({T}: Add {W}.)
Idyllic Grange enters the battlefield tapped unless you control three or more other Plains.
When Idyllic Grange enters the battlefield untapped, put a +1/+1 counter on target creature you control.",4758,[],0.0,common,,Idyllic Grange,[],['W'],,
Creature — Human Soldier,"Whenever you cycle a card, tap target creature an opponent controls.",14932,['W'],3.0,common,3,Snare Tactician,[],['W'],2,{2}{W}
Creature — Bird,"Flying
When Mist Raven enters the battlefield, return target creature to its owner's hand.",8920,['U'],4.0,common,2,Mist Raven,['Flying'],['U'],2,{2}{U}{U}
Creature — Shapeshifter,"You may have Evil Twin enter the battlefield as a copy of any creature on the battlefield, except it has ""{U}{B}, {T}: Destroy target creature with the same name as this creature.""",1799,"['B', 'U']",4.0,rare,0,Evil Twin,[],"['B', 'U']",0,{2}{U}{B}
